Waypoint_ID,X_Position,Y_Position,Theta_Radians
1,-2.0001,-0.5000,0.0000
2,1.5477,-0.5000,0.0000
3,1.6884,-0.4373,1.5814
4,1.6773,0.6069,1.5814
5,1.6868,0.5981,-3.0449
6,-1.1201,0.3259,-3.0449
7,-1.1251,0.3426,0.5455
8,-1.5846,1.0547,-2.3456
